Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.05,33,1676,17,193,1449,162
Completed,0.04,32,882,11,428,485,83
Completed,0.06,52,1568,8,461,1421,291
Completed,0.04,73,1799,11,334,1070,57
Completed,0.04,28,1510,1,8,281,12
Completed,0.04,45,1022,20,446,812,123
Completed,0.04,129,1477,0,436,1403,52
Completed,0.04,27,1626,2,238,1583,335
Completed,0.04,67,1989,18,111,1934,70
Completed,0.04,37,1700,7,285,723,113
Completed,0.04,305,1204,10,231,192,1
Completed,0.04,31,813,20,143,512,42
Completed,0.06,18,1109,5,46,1023,166
Completed,0.05,115,1613,13,471,1554,215
Completed,0.04,90,1739,16,320,1571,86
Completed,0.05,10,1403,17,12,1376,302
Completed,0.05,21,4784,17,156,937,202
Completed,0.04,58,1599,3,321,1358,139
Completed,0.04,48,1714,19,386,434,36
Completed,0.04,23,1195,1,68,903,85
Completed,0.06,140,1972,8,212,1223,18
Completed,0.04,23,1647,11,89,1263,252
Completed,0.04,100,1645,4,467,1191,64
Completed,0.04,293,1423,7,313,934,7
Completed,0.04,39,532,2,311,363,44
Completed,0.04,22,1769,10,76,1328,217
Completed,0.04,18,1730,11,59,981,147
Completed,0.04,26,246,15,460,165,32
Completed,0.04,77,1957,0,354,1676,160
Completed,0.04,16,726,7,26,633,81
Completed,0.04,27,1445,19,163,1145,205
Completed,0.06,32,1787,14,121,1709,297
