Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.72,11,4915,1951,10,0.669
Completed,0.69,6,5000,3199,10,0.999
Completed,0.73,17,5000,871,1,0.999
Completed,0.72,18,1093,1101,1,0.598
Completed,0.72,24,3856,1759,1,0.56
Completed,0.72,13,986,731,1,0.78
Completed,0.72,14,1216,1340,10,0.999
Completed,0.71,18,5000,2326,10,0.624
Completed,0.7,50,854,839,10,0.557
Completed,0.68,45,5000,4244,10,0.999
Completed,0.73,12,3916,1349,1,0.817
Completed,0.71,25,4281,1873,10,0.999
Completed,0.72,36,4986,770,10,0.906
Completed,0.71,53,4309,1049,10,0.802
Completed,0.72,62,3393,980,10,0.778
Completed,0.71,30,4131,1538,10,0.751
Completed,0.71,107,5000,1293,1,0.001
Completed,0.72,12,613,375,1,0.999
Completed,0.71,42,4846,600,1,0.184
Completed,0.73,12,1368,901,1,0.999
Completed,0.72,35,5000,671,10,0.842
Completed,0.71,48,4599,2213,10,0.999
Completed,0.71,15,3617,1313,1,0.999
Completed,0.71,40,4865,2892,10,0.956
Completed,0.72,9,1182,1116,1,0.999
Completed,0.73,79,3559,1075,1,0.001
Completed,0.71,11,4630,1918,1,0.522
Completed,0.73,55,5000,381,1,0.4
Completed,0.73,21,1272,703,1,0.34
Completed,0.63,222,1425,4693,1,0.001
Completed,0.69,212,3077,1278,10,0.001
Completed,0.7,35,5000,1458,10,0.886
Completed,0.69,10,5000,1910,1,0.999
Completed,0.74,65,5000,211,10,0.326
Completed,0.73,47,3323,212,1,0.4
Completed,0.73,22,4387,1154,1,0.54
Completed,0.73,83,4155,1996,10,0.555
Completed,0.67,443,3288,4389,10,0.001
Completed,0.7,101,4250,2618,10,0.726
Completed,0.72,78,1888,588,10,0.518
Completed,0.73,29,1359,636,2,0.311
Completed,0.7,15,1119,1522,10,0.999
Completed,0.69,16,1456,2314,1,0.377
Completed,0.72,56,1150,979,3,0.192
Completed,0.73,69,3831,736,1,0.001
Completed,0.72,26,1622,666,4,0.813
Completed,0.72,35,3627,1660,1,0.551
Completed,0.7,40,1554,2788,1,0.626
Completed,0.72,7,5000,4887,1,0.999
Completed,0.73,37,3382,1408,1,0.203
Completed,0.72,12,4291,1896,10,0.295
Completed,0.71,14,3410,904,1,0.999
Completed,0.72,7,68,123,10,0.661
Completed,0.71,43,4454,1698,10,0.999
Completed,0.65,4,2321,3172,10,0.999
Completed,0.73,14,245,147,10,0.977
Completed,0.71,19,5000,1546,10,0.81
Completed,0.72,16,3725,963,1,0.738
Completed,0.73,15,5000,1838,1,0.999
Completed,0.72,18,1034,1291,1,0.755
Completed,0.74,20,319,115,10,0.576
Completed,0.72,16,2360,334,10,0.506
Completed,0.65,6,1624,4829,1,0.772
Completed,0.73,66,5000,222,10,0.706
Completed,0.74,58,4080,211,1,0.386
Completed,0.73,33,3602,446,10,0.999
Completed,0.73,17,475,206,1,0.999
Completed,0.73,86,3407,495,10,0.001
Completed,0.73,48,2684,117,2,0.999
Completed,0.72,29,3523,701,10,0.37
Completed,0.73,31,3495,595,1,0.431
Completed,0.73,106,2905,399,1,0.001
Completed,0.72,86,3367,596,9,0.001
Completed,0.71,23,1718,602,1,0.999
Completed,0.73,66,1911,273,4,0.001
Completed,0.74,77,5000,184,10,0.036
Completed,0.73,39,3225,200,5,0.332
Completed,0.73,22,3697,698,4,0.999
Completed,0.72,29,3552,1238,1,0.658
Completed,0.72,27,3998,720,4,0.628
Completed,0.73,17,3237,470,1,0.999
Completed,0.74,60,5000,216,1,0.546
Completed,0.73,9,1,130,2,0.001
Completed,0.75,14,147,113,4,0.236
Completed,0.74,35,2875,162,1,0.306
Completed,0.74,62,467,51,10,0.286
Completed,0.74,43,551,83,5,0.236
Completed,0.71,28,4563,1457,1,0.446
Completed,0.74,51,754,257,10,0.001
Completed,0.71,25,3437,668,10,0.999
Completed,0.7,7,2083,358,6,0.469
Completed,0.74,65,4225,193,1,0.69
Completed,0.74,19,452,167,4,0.71
Completed,0.73,73,5000,1407,10,0.461
Completed,0.72,29,4511,459,1,0.714
Completed,0.73,53,3435,225,10,0.277
Completed,0.74,29,1541,466,1,0.999
Completed,0.73,69,3297,553,8,0.424
Completed,0.73,37,1764,382,10,0.816
Completed,0.74,28,2538,125,6,0.999
Completed,0.74,47,436,74,10,0.38
Completed,0.74,58,1332,183,1,0.999
Completed,0.73,14,2469,332,10,0.999
Completed,0.73,53,4559,301,7,0.999
Completed,0.74,38,4228,412,1,0.268
Completed,0.74,65,3604,206,10,0.001
Completed,0.73,31,1670,501,10,0.999
Completed,0.73,27,2761,204,5,0.436
Completed,0.75,9,138,122,7,0.457
Completed,0.74,42,870,188,1,0.847
Completed,0.74,8,2111,137,5,0.81
Completed,0.74,23,2508,138,3,0.78
Completed,0.73,31,5000,472,3,0.647
Completed,0.73,27,1277,363,4,0.392
Completed,0.74,59,2804,103,1,0.999
Completed,0.74,5,31,91,1,0.224
Completed,0.73,25,3311,387,1,0.795
