Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.92,1094,4483,579,1,0.506
Completed,0.9,1932,590,1008,3,0.999
Completed,0.9,668,373,460,1,0.393
Completed,0.86,1380,2441,1331,2,0.578
Completed,0.59,5872,23,3364,8,0.417
Completed,0.93,1418,4053,402,3,0.755
Completed,0.91,904,4582,2820,1,0.894
Completed,0.85,3441,1739,3769,5,0.688
Completed,0.83,7459,2957,2349,6,0.11
Completed,0.81,6606,2888,3057,10,0.495
Completed,0.89,2722,4651,2273,5,0.502
Completed,0.83,2287,3984,4702,3,0.641
Completed,0.74,1466,2352,3128,4,0.942
Completed,0.7,2155,2076,2050,8,0.711
Completed,0.91,2851,4256,1104,9,0.888
Completed,0.9,1274,5000,1897,2,0.787
Completed,0.9,765,3950,1694,1,0.946
Completed,0.88,7147,3948,2664,4,0.008
Completed,0.88,7011,4043,59,2,0.287
Completed,0.85,485,504,1565,1,0.999
Completed,0.86,1982,506,1001,6,0.551
Completed,0.82,3936,1957,4280,1,0.452
Completed,0.88,5385,3330,1947,9,0.845
Completed,0.84,1347,3601,3348,1,0.622
Completed,0.86,1137,902,2483,2,0.929
Completed,0.83,6667,1640,2954,7,0.067
Completed,0.91,1636,3081,929,4,0.732
Completed,0.72,2905,2513,3847,1,0.325
Completed,0.87,2708,731,1214,7,0.268
Completed,0.82,4022,4538,4889,4,0.7
Completed,0.9,3369,2717,68,8,0.599
Completed,0.83,6091,4323,4302,7,0.524
Completed,0.71,3628,2164,2751,8,0.825
Completed,0.86,6292,1942,3196,10,0.36
Completed,0.89,918,364,563,4,0.78
Completed,0.91,8062,4478,991,9,0.094
Completed,0.77,2689,791,4821,3,0.877
Completed,0.9,1830,1749,1436,6,0.481
Completed,0.83,3594,2905,2772,5,0.548
Completed,0.84,3278,967,2329,8,0.606
Completed,0.86,3222,4928,3503,2,0.423
Completed,0.7,2254,227,3070,7,0.735
Completed,0.87,935,2391,674,1,0.156
Completed,0.86,3529,4926,3684,6,0.777
Completed,0.79,5455,1556,4610,10,0.572
Completed,0.83,2805,2539,1655,2,0.227
