Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.05,1508,3235,0.652
Completed,0.04,1598,2784,0.321
Completed,0.05,981,1258,0.513
Completed,0.05,1911,234,0.033
Completed,0.05,1836,3850,0.848
Completed,0.05,1458,4110,0.383
Completed,0.03,1401,558,0.7
Completed,0.06,1632,1702,0.22
Completed,0.05,1471,3008,0.91
Completed,0.06,1294,3495,0.117
Completed,0.04,513,2422,0.8
Completed,0.05,1376,4873,0.59
Completed,0.07,1219,4876,0.278
Completed,0.05,1456,1084,0.587
Completed,0.04,1382,2440,0.114
Completed,0.05,1559,3478,0.798
Completed,0.05,960,2991,0.222
Completed,0.05,1370,1719,0.913
Completed,0.05,1461,555,0.386
Completed,0.05,1562,4113,0.702
Completed,0.1,1612,3867,0.035
Completed,0.05,1341,217,0.851
Completed,0.05,1525,1260,0.323
Completed,0.05,1544,2782,0.515
Completed,0.04,1012,3233,0.465
Completed,0.05,669,2102,0.649
Completed,0.05,1394,626,0.176
Completed,0.06,1538,4667,0.985
Completed,0.07,1281,4468,0.141
Completed,0.05,1535,824,0.946
Completed,0.04,929,3425,0.658
Completed,0.04,1468,2584,0.361
Completed,0.05,961,1459,0.552
Completed,0.03,886,25,0.026
Completed,0.06,1405,4232,0.423
Completed,0.04,407,436,0.739
Completed,0.06,1766,1833,0.213
Completed,0.04,1374,2875,0.902
Completed,0.08,1489,3597,0.079
Completed,0.05,1440,2321,0.759
Completed,0.06,1328,1199,0.289
Completed,0.05,1532,4760,0.596
Completed,0.07,1530,4768,0.096
Completed,0.05,1277,1152,0.785
Completed,0.05,1406,2215,0.26
